timestamp,X_sma_30,X_sma_60,X_sma_90,X_sma_150,X_sma_200,X_kama_30,X_kama_60,X_kama_90,X_kama_150,X_kama_200,actual_target,forecast,y_predict,y_actual,signal_correct
2024-08-30 23:00:00,1.3482646666666667,1.3475393333333332,1.3470353333333334,1.3496613333333334,1.35230045,1.3475509973348736,1.346904127204206,1.3469669255867678,1.347403075282228,1.3476057848861784,-0.0004521130727382916,-0.0002764165371285829,-1,-1,1
2024-09-02 00:00:00,1.3483406666666664,1.3475833333333334,1.3470438888888887,1.3495820666666667,1.3522278499999998,1.3475762321032247,1.346925406453126,1.3469759614151593,1.3474313701909502,1.3476290885896387,0.00014830084309047642,-0.00027511445091969397,-1,1,0
2024-09-02 01:00:00,1.3484,1.3476265,1.3470524444444445,1.3495058,1.3521572499999999,1.3475994005043552,1.346948569218806,1.3469860474208706,1.34746231220607,1.3476556291836999,0.00021500433715648803,-0.0002739457704631946,-1,1,0
2024-09-02 02:00:00,1.3484796666666665,1.3476585,1.3470605555555555,1.3494264666666664,1.35208715,1.3476388235398522,1.3469698995816735,1.346997518636449,1.3475010263098153,1.347687792857182,-0.00014824697946780319,-0.0002727025067908507,-1,-1,1
2024-09-02 03:00:00,1.3485223333333332,1.3476891666666666,1.3470647777777778,1.3493495333333334,1.3520162999999998,1.3476568072541972,1.3469884474842138,1.3470066482302672,1.3475331111271374,1.3477150687128343,0.0003410186077543731,-0.0002717811682419077,-1,1,0
2024-09-02 04:00:00,1.3485513333333334,1.3477258333333333,1.3470833333333334,1.3492718666666668,1.35194805,1.347674859332692,1.347014174713755,1.3470238858251578,1.3475755370178994,1.3477503906828947,0.00024456038418230186,-0.0002708542902656247,-1,1,0
2024-09-02 05:00:00,1.3485976666666666,1.3477966666666668,1.3471098888888888,1.349194,1.3518857499999999,1.347706497051783,1.3470699803944022,1.3470477986865104,1.3476248085680627,1.347788290321534,-2.2227326274881776e-05,-0.00026939412565765876,-1,-1,1
2024-09-02 06:00:00,1.3486339999999999,1.3478549999999998,1.3471422222222222,1.3491147333333333,1.3518229,1.3477314529915811,1.3471149472057424,1.3470748055640782,1.3476733287508316,1.3478252317885417,0.00013336692203957945,-0.0002681097931243121,-1,1,0
2024-09-02 07:00:00,1.3486726666666666,1.3479028333333332,1.3471805555555556,1.3490412,1.35176295,1.3477597649874669,1.3471547063681122,1.3471075051646313,1.3477210631848635,1.3478631256662328,-0.00022224856279262628,-0.0002668743642183942,-1,-1,1
2024-09-02 08:00:00,1.348695,1.3479243333333335,1.3471998888888888,1.3489688666666666,1.35169915,1.3477754760352336,1.3471743046312519,1.3471260705355343,1.3477605013076215,1.3478969090930812,-0.00011855891637146954,-0.0002661298637608959,-1,-1,1
2024-09-02 09:00:00,1.3487276666666665,1.3479555,1.3472217777777777,1.3488970666666666,1.3516369500000003,1.347794383700422,1.3471977706265201,1.347144536079278,1.3477953644545022,1.3479260780437226,-2.9643243563692856e-05,-0.0002651819405654079,-1,-1,1
2024-09-02 10:00:00,1.3487516666666666,1.3479781666666666,1.347255,1.3488282666666667,1.351575,1.3478090198112815,1.3472163108121633,1.3471686836878545,1.3478272777409546,1.347953781123944,-0.0003260853454281065,-0.0002643010384510594,-1,-1,1
2024-09-02 11:00:00,1.3487623333333332,1.3479935,1.347294,1.3487555333333332,1.35151115,1.347815770750373,1.3472280538564652,1.3471905774588213,1.347850761653264,1.3479728584833444,0.00031136481577598296,-0.0002634813037119366,-1,1,0
2024-09-02 12:00:00,1.348784,1.3480181666666666,1.3473335555555555,1.3486873333333333,1.351448,1.3478286617243511,1.3472468492168,1.3472178070778096,1.3478806380681287,1.3479996541133088,0.00027421219577261624,-0.0002625523866274891,-1,1,0
2024-09-02 13:00:00,1.34881,1.3480473333333334,1.347370777777778,1.3486226666666665,1.35138725,1.3478464920427626,1.3472712731208558,1.3472479575233984,1.34791527436694,1.3480318144551093,0.0002370914802658497,-0.00026159317045735614,-1,1,0
2024-09-02 14:00:00,1.3488546666666668,1.3480863333333333,1.3474227777777779,1.3485594666666667,1.3513293,1.3478784299208177,1.3473055434974874,1.3472944127969295,1.3479542939166034,1.348067597302362,-0.0006962911385841597,-0.00026028208949575117,-1,-1,1
2024-09-02 15:00:00,1.3488773333333335,1.3481238333333332,1.3474714444444444,1.3484927333333332,1.3512673499999999,1.3478885472231221,1.3473268563119296,1.3473221966488866,1.3479761623027229,1.3480868893493227,0.0007412513805806764,-0.00025915535495950326,-1,1,0
2024-09-02 16:00:00,1.3489670000000002,1.3481783333333333,1.3475342222222222,1.3484332,1.35121,1.347954507252038,1.3473720697200997,1.347377109820128,1.3480121442636408,1.3481217556164158,-0.0004592354470509541,-0.00025715719088261174,-1,-1,1
