timestamp,X_sma_30,X_sma_60,X_sma_90,X_sma_150,X_sma_200,X_kama_30,X_kama_60,X_kama_90,X_kama_150,X_kama_200,actual_target,forecast,y_predict,y_actual,signal_correct,pnl,return_pct,duration,tp_sl_status
2024-06-12 12:00:00,1.375965,1.376244,1.3739667777777778,1.3716198000000002,1.36975075,1.376170025998605,1.375678662408025,1.374673692907467,1.3736345397575276,1.3721825469696656,1.454852296123299e-05,-0.0001856743934893,-1,1,0,0,,,
2024-06-12 13:00:00,1.3759043333333334,1.3762198333333335,1.374035222222222,1.3716929333333334,1.36978355,1.3761393572311842,1.3756694725142251,1.374674929736057,1.373657516968549,1.3722075525270183,-0.0003346111600095,-0.0001885075872068,-1,-1,1,1,0.003224,0 days 02:00:00,TP Hit
2024-06-12 14:00:00,1.375846,1.3761935,1.3741005555555554,1.3717622,1.369812,1.3761010162894578,1.3756551177912846,1.3746665444456163,1.3736695676345725,1.3722259624531736,-0.003769273869036,-0.0001912250018668,-1,-1,1,1,0.003224,0 days 02:00:00,TP Hit
2024-06-12 15:00:00,1.3756106666666668,1.3760725,1.374124222222222,1.3717902,1.36981395,1.375490644744019,1.3753722678022682,1.3746203212935948,1.3736293897285776,1.3722121016212503,-0.0003359895989305,-0.0001877055950885,-1,-1,1,1,0.003224,0 days 02:00:00,TP Hit
2024-06-12 16:00:00,1.3753563333333332,1.375947,1.3741456666666667,1.3718148,1.3698199,1.37483545790788,1.3750704229500317,1.3745734530826113,1.3735888894433084,1.3721942686604782,0.0002630367593869,-0.0001837852447806,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit
2024-06-12 17:00:00,1.375097,1.375822833333333,1.374167666666667,1.3718282,1.36982935,1.374252334063847,1.3748031748558531,1.3745291786459377,1.373560424451307,1.3721766701068123,0.0001753117261631,-0.0001802450752669,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit
2024-06-12 18:00:00,1.374823,1.375692,1.3741966666666667,1.3718364666666665,1.36984235,1.3736837235529011,1.3745347922957571,1.3744793659939694,1.3735371388414273,1.3721588623283252,-0.0005696632413838,-0.0001769622143103,-1,-1,1,-1,-0.005674,1 days 23:00:00,SL Hit
2024-06-12 19:00:00,1.374536,1.3755553333333337,1.3742154444444443,1.3718309333333334,1.36985225,1.3730665316774042,1.3742280701291367,1.3744355512061064,1.3735118895438885,1.372138258742034,0.0008915196024699,-0.0001728399657839,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit
2024-06-12 20:00:00,1.374257,1.375446333333333,1.3742473333333334,1.3718339333333334,1.3698664500000002,1.372691759570895,1.3740652842583356,1.3743889440707764,1.3734942861639008,1.372122939514654,0.0014310016281293,-0.0001711267530876,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit
2024-06-12 21:00:00,1.3740686666666666,1.3753615,1.3743005555555556,1.3718585333333335,1.3698951,1.3726334384231955,1.3740051493169618,1.3743493598061864,1.3734790719527443,1.372118671273491,0.0007071877984587,-0.0001731316963985,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit
2024-06-12 22:00:00,1.373877,1.3752973333333331,1.3743653333333334,1.3718904,1.3699344000000002,1.3726315404761738,1.373980247044525,1.3743195036318592,1.3734706916241894,1.3721238495054295,-0.0002768468599737,-0.0001760214890772,-1,-1,1,-1,-0.005674,1 days 23:00:00,SL Hit
2024-06-12 23:00:00,1.3737066666666666,1.3752050000000002,1.3744255555555556,1.3719172000000002,1.3699794,1.3726108858083097,1.373931721151747,1.3742863897801083,1.3734600200697016,1.3721250094607147,-0.0003570855985192,-0.0001785620835233,-1,-1,1,-1,-0.005674,1 days 23:00:00,SL Hit
2024-06-13 00:00:00,1.373542,1.3751031666666669,1.3744794444444444,1.3719414666666667,1.3700182,1.3725682150057736,1.373864216025542,1.374250341409669,1.3734461222829744,1.3721207635265351,0.000247862188623,-0.0001807429531674,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit
2024-06-13 01:00:00,1.373407,1.375009666666667,1.3745381111111112,1.3719643333333336,1.3700609,1.372549564541623,1.3738150692652564,1.3742172023918762,1.373435408113603,1.3721201752572627,5.830606310186504e-05,-0.0001831366395581,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit
2024-06-13 02:00:00,1.3732823333333333,1.374933,1.3746003333333332,1.3719892666666669,1.3701055,1.372535954259769,1.37377786343421,1.374183844294248,1.3734248976244516,1.3721205338576572,0.0004882848085121,-0.0001857059746135,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit
2024-06-13 03:00:00,1.3732006666666667,1.3748646666666666,1.3746652222222222,1.3720234666666666,1.3701547499999998,1.372541758337848,1.37375932918339,1.3741610000953712,1.3734188395251572,1.3721296539452623,0.0008595445870545,-0.0001884799513698,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit
2024-06-13 04:00:00,1.3731536666666666,1.3748066666666667,1.374743888888889,1.372064,1.37020055,1.3725585439093382,1.3737631901929963,1.37415777155114,1.3734253946677448,1.3721526884555846,-0.0001018922852984,-0.000191509575671,-1,-1,1,-1,-0.005674,1 days 23:00:00,SL Hit
2024-06-13 05:00:00,1.3730916666666666,1.3747443333333331,1.3748162222222222,1.3721057333333335,1.3702484999999998,1.3725777331545108,1.3737648582262671,1.3741522821043015,1.3734304195877616,1.372174618043471,8.006638230950713e-05,-0.0001944476247193,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit
2024-06-13 06:00:00,1.3730396666666669,1.3747178333333332,1.3748786666666666,1.3721495333333331,1.3703022000000002,1.3725953359914609,1.3737666946236615,1.374149339972255,1.3734369133271491,1.3722003084537633,0.0002037890201387,-0.0001971674724974,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit
2024-06-13 07:00:00,1.372997,1.374682,1.374945111111111,1.3721922666666668,1.3703584999999998,1.3726129880750448,1.3737721193153936,1.3741510622837283,1.3734465175875756,1.372230950864162,0.0002037474986356,-0.0001998524719215,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit
2024-06-13 08:00:00,1.3729656666666668,1.3746586666666665,1.3750101111111113,1.3722384666666667,1.37041855,1.372629453128788,1.3737784863437446,1.3741574191648314,1.373460168228587,1.3722675757484304,8.73025688781226e-05,-0.0002024686097279,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit
