timestamp,X_slope_360,X_slope_720,actual_target,forecast,y_predict,y_actual,signal_correct,pnl,return_pct,duration,tp_sl_status,Category
2024-06-12 12:00:00,2.129615454851588e-05,2.377073129630927e-06,1.454852296123299e-05,-3.840203726724344e-06,-1,1,0,0,,,No TP/SL,ML model failed
2024-06-12 13:00:00,2.142182810052364e-05,2.5713797030164344e-06,-0.0003346111600095,-3.668265669391081e-06,-1,-1,1,1,0.003224,0 days 02:00:00,TP Hit,"ML Model, Risk Management and Trade Management are good and PnL is positive"
2024-06-12 14:00:00,2.154063945966677e-05,2.761630198625e-06,-0.003769273869036,-3.495358928975093e-06,-1,-1,1,1,0.003224,0 days 02:00:00,TP Hit,"ML Model, Risk Management and Trade Management are good and PnL is positive"
2024-06-12 15:00:00,2.1403317155222056e-05,2.892825153352958e-06,-0.0003359895989305,-3.1403690283109275e-06,-1,-1,1,1,0.003224,0 days 02:00:00,TP Hit,"ML Model, Risk Management and Trade Management are good and PnL is positive"
2024-06-12 16:00:00,2.1234595431542204e-05,3.009719347438611e-06,0.0002630367593869,-2.774216552238704e-06,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit,ML model failed
2024-06-12 17:00:00,2.117592728340364e-05,3.130472055944214e-06,0.0001753117261631,-2.520302785329168e-06,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit,ML model failed
2024-06-12 18:00:00,2.113074432159028e-05,3.255305758700183e-06,-0.0005696632413838,-2.274439780594329e-06,-1,-1,1,-1,-0.005674,1 days 23:00:00,SL Hit,ML model is good but Risk Management and Trade Management are bad
2024-06-12 19:00:00,2.1009661854386924e-05,3.3696448102539265e-06,0.0008915196024699,-1.963549992938946e-06,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit,ML model failed
2024-06-12 20:00:00,2.0966279317993365e-05,3.498248131917112e-06,0.0014310016281293,-1.7136656451923866e-06,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit,ML model failed
2024-06-12 21:00:00,2.100067773157266e-05,3.6388502549863247e-06,0.0007071877984587,-1.5284540609017583e-06,-1,1,0,-1,-0.005674,1 days 23:00:00,SL Hit,ML model failed
