timestamp,X_slope_360,X_slope_720,actual_target,forecast,y_predict,y_actual,signal_correct
2024-06-12 12:00:00,2.129615454851588e-05,2.377073129630927e-06,1.454852296123299e-05,-3.840203726724344e-06,-1,1,0
2024-06-12 13:00:00,2.1421828100523636e-05,2.5713797030164344e-06,-0.00033461116000954583,-3.668265669391081e-06,-1,-1,1
2024-06-12 14:00:00,2.1540639459666778e-05,2.761630198625e-06,-0.0037692738690360272,-3.495358928975093e-06,-1,-1,1
2024-06-12 15:00:00,2.1403317155222056e-05,2.892825153352958e-06,-0.0003359895989305528,-3.1403690283109275e-06,-1,-1,1
2024-06-12 16:00:00,2.1234595431542204e-05,3.009719347438611e-06,0.000263036759386992,-2.7742165522387036e-06,-1,1,0
2024-06-12 17:00:00,2.117592728340364e-05,3.1304720559442146e-06,0.00017531172616314095,-2.5203027853291677e-06,-1,1,0
2024-06-12 18:00:00,2.1130744321590273e-05,3.255305758700183e-06,-0.0005696632413838554,-2.274439780594329e-06,-1,-1,1
2024-06-12 19:00:00,2.1009661854386924e-05,3.3696448102539265e-06,0.0008915196024699146,-1.963549992938946e-06,-1,1,0
2024-06-12 20:00:00,2.0966279317993365e-05,3.498248131917112e-06,0.0014310016281293692,-1.7136656451923866e-06,-1,1,0
2024-06-12 21:00:00,2.100067773157266e-05,3.6388502549863247e-06,0.0007071877984587971,-1.5284540609017585e-06,-1,1,0
2024-06-12 22:00:00,2.1046616872050584e-05,3.785942391853823e-06,-0.00027684685997375613,-1.3453953691918279e-06,-1,-1,1
2024-06-12 23:00:00,2.111005228950866e-05,3.939407354813966e-06,-0.0003570855985192134,-1.1710785450748388e-06,-1,-1,1
2024-06-13 00:00:00,2.1260951087566735e-05,4.079818987551791e-06,0.0002478621886230492,-1.111436477713605e-06,-1,1,0
2024-06-13 01:00:00,2.1405135584886718e-05,4.231716624972583e-06,5.8306063101865035e-05,-1.026423003774325e-06,-1,1,0
2024-06-13 02:00:00,2.1565676947095538e-05,4.384571215097459e-06,0.0004882848085121516,-9.574851420014156e-07,-1,1,0
2024-06-13 03:00:00,2.1748048467458656e-05,4.479482824359652e-06,0.000859544587054506,-1.0035899325057256e-06,-1,1,0
2024-06-13 04:00:00,2.1978362744564633e-05,4.644534100820876e-06,-0.00010189228529844385,-9.90401370422547e-07,-1,-1,1
2024-06-13 05:00:00,2.220509288907052e-05,4.783688015082478e-06,8.006638230950713e-05,-1.0142855157632748e-06,-1,1,0
2024-06-13 06:00:00,2.2430090767181274e-05,4.92190828557282e-06,0.0002037890201387338,-1.0377824931599456e-06,-1,1,0
2024-06-13 07:00:00,2.2669038084164466e-05,5.054543733026622e-06,0.00020374749863560915,-1.0851046861326405e-06,-1,1,0
2024-06-13 08:00:00,2.2907483854046828e-05,5.186312891533166e-06,8.73025688781226e-05,-1.1332566138880783e-06,-1,1,0
2024-06-13 09:00:00,2.3114689670966965e-05,5.327863608276324e-06,-0.00037827810715440613,-1.132359226291927e-06,-1,-1,1
2024-06-13 10:00:00,2.33086996556047e-05,5.458026057141565e-06,-0.00042208524666520475,-1.1352701715469642e-06,-1,-1,1
2024-06-13 11:00:00,2.348648266320067e-05,5.570545403570742e-06,0.000480506716173279,-1.1486149276718317e-06,-1,1,0
2024-06-13 12:00:00,2.3673933955264097e-05,5.699793016559719e-06,0.00041478376667325456,-1.1459193077680702e-06,-1,1,0
2024-06-13 13:00:00,2.390561784171372e-05,5.831983665085457e-06,0.00028368175271697993,-1.1861343400482021e-06,-1,1,0
2024-06-13 14:00:00,2.4117939438847833e-05,5.966283531920651e-06,-0.0013016572496491463,-1.2021965532911055e-06,-1,-1,1
2024-06-13 15:00:00,2.4206704269833347e-05,6.079215687776202e-06,0.0007208492915289355,-1.1191710366883225e-06,-1,1,0
2024-06-13 16:00:00,2.4348321874903956e-05,6.193811137732063e-06,0.0008294709576024406,-1.090347551248399e-06,-1,1,0
2024-06-13 17:00:00,2.4526299071233265e-05,6.327507383296052e-06,-0.00047982202964724774,-1.0704344489392583e-06,-1,-1,1
2024-06-13 18:00:00,2.4670159491980826e-05,6.453800868966979e-06,0.00021093210168388055,-1.0255357262770043e-06,-1,1,0
2024-06-13 19:00:00,2.490238350606624e-05,6.590879804924424e-06,-0.00025451953982869036,-1.0586063902003267e-06,-1,-1,1
2024-06-13 20:00:00,2.5176134332329617e-05,6.720579772201111e-06,-0.0004582518057302254,-1.1479905379325822e-06,-1,-1,1
2024-06-13 21:00:00,2.5424586609432842e-05,6.841057595904412e-06,-0.00023286953484313866,-1.224746213718506e-06,-1,-1,1
2024-06-13 22:00:00,2.5710525029779624e-05,6.955215962986031e-06,0.0002474815116753071,-1.3517962067580135e-06,-1,1,0
2024-06-13 23:00:00,2.6104724316293127e-05,7.063268672704855e-06,-0.00031291388318843705,-1.604904037171502e-06,-1,-1,1
2024-06-14 00:00:00,2.6539102667986947e-05,7.153379925494437e-06,0.00043676069153764097,-1.9295684732539824e-06,-1,1,0
2024-06-14 01:00:00,2.6970664639915574e-05,7.241489181108134e-06,4.36570014916704e-05,-2.254368394773599e-06,-1,1,0
2024-06-14 02:00:00,2.736997713460313e-05,7.324324828299666e-06,0.00034924076512821145,-2.5528257521879055e-06,-1,1,0
2024-06-14 03:00:00,2.7791969845440284e-05,7.39490125688345e-06,-0.0008509771690825563,-2.895044003474877e-06,-1,-1,1
2024-06-14 04:00:00,2.8156633153043374e-05,7.45911820172869e-06,-5.823603063226379e-05,-3.1856682405902437e-06,-1,-1,1
