timestamp,X_sma_30,X_sma_60,X_sma_90,X_sma_150,X_sma_200,X_kama_30,X_kama_60,X_kama_90,X_kama_150,X_kama_200,X_slope_120,X_slope_360,X_slope_720,actual_target,forecast,y_predict,y_actual,signal_correct
2024-08-19 08:00:00,1.3701059999999998,1.3708168333333333,1.3709503333333333,1.3719342,1.3726495499999998,1.368798377483635,1.371262502509141,1.3712618694401042,1.3715406674639592,1.3715043353206235,-3.475616362247566e-05,-5.286198324573913e-05,1.6655268271497274e-05,0.0002560950624870273,8.969295300770483e-06,1,1,1
2024-08-19 09:00:00,1.3699056666666667,1.3707475,1.370886111111111,1.3718866,1.37259275,1.3686080192520165,1.371168212030613,1.3711721476049226,1.3714681970972389,1.3714206829142297,-3.602864782280572e-05,-5.313394007670247e-05,1.6462244172290052e-05,8.046641258796505e-05,1.0901741671525066e-05,1,1,1
2024-08-19 10:00:00,1.3697346666666665,1.370673,1.3708217777777778,1.3718462666666666,1.3725348,1.3684751377282771,1.3710695052936086,1.3710864730960783,1.3714080079903532,1.37133871793599,-3.76339676367026e-05,-5.333834623208896e-05,1.6254879606906308e-05,0.00020480711558445996,1.2779089475321394e-05,1,1,1
2024-08-19 11:00:00,1.369575,1.3706101666666668,1.3707666666666667,1.3718097999999999,1.3724833,1.3683915000707565,1.3709953976323943,1.3710200865834408,1.3713572482422538,1.3712718119697482,-3.899277727620881e-05,-5.350280480559006e-05,1.6055955129810984e-05,0.0005411651138640394,1.461182207648912e-05,1,1,1
2024-08-19 12:00:00,1.3694236666666668,1.3705559999999999,1.3707202222222221,1.3717820666666665,1.3724340499999998,1.3683750684209361,1.3709470629568978,1.3709771032260178,1.371324529968383,1.3712212468643885,-4.012542537681775e-05,-5.368494741471948e-05,1.5861752884036537e-05,0.00011694538650441899,1.643632096052946e-05,1,1,1
2024-08-19 13:00:00,1.369285,1.3705058333333333,1.3706803333333333,1.3717457333333332,1.37238675,1.3683716171938822,1.3709056718016683,1.3709421418753438,1.3712858617441088,1.3711758964471932,-4.11819570803563e-05,-5.383359439501011e-05,1.5679443343844906e-05,-0.0006065832553787676,1.8170315367778374e-05,1,-1,0
2024-08-19 14:00:00,1.3691320000000002,1.370435833333333,1.370630888888889,1.3717076000000001,1.37233995,1.3683105378832332,1.370830536703499,1.3708876866431383,1.3712350800500448,1.3711188105201635,-4.2194701020871285e-05,-5.396976442717988e-05,1.5476744907571904e-05,-0.00019012936109230605,1.983339432002358e-05,1,-1,0
2024-08-19 15:00:00,1.3689676666666668,1.3703616666666667,1.3705868888888888,1.3716760666666667,1.37228985,1.368228700500345,1.370746721561603,1.3708354677503063,1.3711888457482078,1.3710543262083779,-4.293739148553932e-05,-5.4133520834780264e-05,1.5262792591570182e-05,-0.000738719893507267,2.1549930142698598e-05,1,-1,0
2024-08-19 16:00:00,1.368754,1.3702695,1.3705354444444444,1.3716283333333332,1.37223265,1.3680121444519089,1.370614873697138,1.370760075953193,1.3711050016812298,1.370963044992349,-4.397722064032513e-05,-5.432192892432675e-05,1.5041421119014121e-05,-0.0012882259079797231,2.362455150420367e-05,1,-1,0
2024-08-19 17:00:00,1.3684956666666668,1.3701523333333332,1.3704696666666667,1.3715699333333333,1.3721689000000001,1.3675601099481214,1.3703848980656896,1.3706309963099683,1.3709698475884533,1.3708269817949787,-4.584693381487143e-05,-5.455115137204936e-05,1.4800297807949436e-05,0.0010700203743605474,2.6009820562719028e-05,1,1,1
