timestamp,X_sma_30,X_sma_60,X_kama_30,X_kama_60,X_slope_360,X_slope_720,actual_target,forecast,y_predict,y_actual,signal_correct
2024-06-12 12:00:00,1.375965,1.376244,1.376170025998605,1.375678662408025,2.129615454851588e-05,2.377073129630927e-06,1.454852296123299e-05,-9.783272282777532e-05,-1,1,0
2024-06-12 13:00:00,1.3759043333333334,1.3762198333333335,1.3761393572311842,1.3756694725142251,2.1421828100523636e-05,2.5713797030164344e-06,-0.00033461116000954583,-9.784821560870335e-05,-1,-1,1
2024-06-12 14:00:00,1.3758460000000001,1.3761935,1.3761010162894578,1.3756551177912846,2.1540639459666778e-05,2.761630198625e-06,-0.0037692738690360272,-9.773135682806383e-05,-1,-1,1
2024-06-12 15:00:00,1.3756106666666668,1.3760725,1.375490644744019,1.3753722678022682,2.1403317155222056e-05,2.892825153352958e-06,-0.0003359895989305528,-9.191786711217642e-05,-1,-1,1
2024-06-12 16:00:00,1.3753563333333332,1.375947,1.37483545790788,1.3750704229500315,2.1234595431542204e-05,3.009719347438611e-06,0.000263036759386992,-8.57251344879849e-05,-1,1,0
2024-06-12 17:00:00,1.375097,1.3758228333333333,1.374252334063847,1.3748031748558531,2.117592728340364e-05,3.1304720559442146e-06,0.00017531172616314095,-8.049788151519748e-05,-1,1,0
2024-06-12 18:00:00,1.374823,1.375692,1.3736837235529011,1.3745347922957571,2.1130744321590273e-05,3.255305758700183e-06,-0.0005696632413838554,-7.547868369667448e-05,-1,-1,1
2024-06-12 19:00:00,1.374536,1.3755553333333335,1.3730665316774042,1.3742280701291367,2.1009661854386924e-05,3.3696448102539265e-06,0.0008915196024699146,-6.989105999876125e-05,-1,1,0
2024-06-12 20:00:00,1.374257,1.3754463333333333,1.372691759570895,1.3740652842583356,2.0966279317993365e-05,3.498248131917112e-06,0.0014310016281293692,-6.709429712647366e-05,-1,1,0
2024-06-12 21:00:00,1.3740686666666666,1.3753615000000001,1.3726334384231957,1.3740051493169618,2.100067773157266e-05,3.6388502549863247e-06,0.0007071877984587971,-6.705751911177573e-05,-1,1,0
2024-06-12 22:00:00,1.373877,1.3752973333333331,1.3726315404761738,1.373980247044525,2.1046616872050584e-05,3.785942391853823e-06,-0.00027684685997375613,-6.787895115639703e-05,-1,-1,1
2024-06-12 23:00:00,1.3737066666666666,1.3752050000000002,1.3726108858083095,1.373931721151747,2.111005228950866e-05,3.939407354813966e-06,-0.0003570855985192134,-6.800660223357747e-05,-1,-1,1
2024-06-13 00:00:00,1.373542,1.3751031666666667,1.3725682150057736,1.373864216025542,2.1260951087566735e-05,4.079818987551791e-06,0.0002478621886230492,-6.791777995813274e-05,-1,1,0
2024-06-13 01:00:00,1.373407,1.3750096666666667,1.372549564541623,1.3738150692652564,2.1405135584886718e-05,4.231716624972583e-06,5.8306063101865035e-05,-6.789208995346999e-05,-1,1,0
2024-06-13 02:00:00,1.3732823333333333,1.374933,1.372535954259769,1.37377786343421,2.1565676947095538e-05,4.384571215097459e-06,0.0004882848085121516,-6.806576822943931e-05,-1,1,0
2024-06-13 03:00:00,1.3732006666666667,1.3748646666666666,1.372541758337848,1.37375932918339,2.1748048467458656e-05,4.479482824359652e-06,0.000859544587054506,-6.824178053558792e-05,-1,1,0
2024-06-13 04:00:00,1.3731536666666666,1.3748066666666667,1.3725585439093382,1.3737631901929965,2.1978362744564633e-05,4.644534100820876e-06,-0.00010189228529844385,-6.839297233765807e-05,-1,-1,1
2024-06-13 05:00:00,1.3730916666666666,1.3747443333333331,1.3725777331545108,1.3737648582262671,2.220509288907052e-05,4.783688015082478e-06,8.006638230950713e-05,-6.865505417401103e-05,-1,1,0
2024-06-13 06:00:00,1.3730396666666667,1.3747178333333332,1.3725953359914607,1.3737666946236615,2.2430090767181274e-05,4.92190828557282e-06,0.0002037890201387338,-6.92599666110641e-05,-1,1,0
2024-06-13 07:00:00,1.372997,1.374682,1.3726129880750448,1.3737721193153936,2.2669038084164466e-05,5.054543733026622e-06,0.00020374749863560915,-6.969715650239199e-05,-1,1,0
2024-06-13 08:00:00,1.3729656666666668,1.3746586666666665,1.3726294531287881,1.3737784863437446,2.2907483854046828e-05,5.186312891533166e-06,8.73025688781226e-05,-7.018032000157433e-05,-1,1,0
2024-06-13 09:00:00,1.3729233333333333,1.3746351666666667,1.3726509714054074,1.373785840428337,2.3114689670966965e-05,5.327863608276324e-06,-0.00037827810715440613,-7.074288369266415e-05,-1,-1,1
2024-06-13 10:00:00,1.3728926666666665,1.3746023333333333,1.3726637751666755,1.3737894308021477,2.33086996556047e-05,5.458026057141565e-06,-0.00042208524666520475,-7.098609405048958e-05,-1,-1,1
2024-06-13 11:00:00,1.37285,1.3745661666666666,1.372673265398821,1.373786755919529,2.348648266320067e-05,5.570545403570742e-06,0.000480506716173279,-7.124180802709634e-05,-1,1,0
2024-06-13 12:00:00,1.3728249999999997,1.3745426666666667,1.372684830755394,1.3737902461907916,2.3673933955264097e-05,5.699793016559719e-06,0.00041478376667325456,-7.152905980832061e-05,-1,1,0
2024-06-13 13:00:00,1.372812,1.3745221666666667,1.3726968934596002,1.3737977939314114,2.390561784171372e-05,5.831983665085457e-06,0.00028368175271697993,-7.183297277838356e-05,-1,1,0
2024-06-13 14:00:00,1.3728300000000002,1.374508,1.3727128649857083,1.3738065973353466,2.4117939438847833e-05,5.966283531920651e-06,-0.0013016572496491463,-7.194926286974244e-05,-1,-1,1
