timestamp,X_sma_30,X_sma_60,X_sma_90,X_sma_150,X_sma_200,X_kama_30,X_kama_60,X_kama_90,X_kama_150,X_kama_200,X_slope_360,X_slope_720,actual_target,forecast,y_predict,y_actual,signal_correct
2024-06-12 12:00:00,0.105238947933135,0.104979842775216,0.10392328300128956,0.10200842890296481,0.10070347244967001,0.10430790392807499,0.1043217877305986,0.10399503813742446,0.10352088602655339,0.10297302007950825,1.7845612098753042e-06,1.898400297107419e-07,1.454852296123299e-05,-0.0003014930621731602,-1,1,0
2024-06-12 13:00:00,0.10523430791963566,0.10497799934275269,0.10392845996152245,0.10201386788571627,0.100705883891238,0.10430557936440532,0.10432109083373128,0.10399513170438296,0.10352261765252414,0.102974896577475,1.7950923198702738e-06,2.0535792236818168e-07,-0.00033461116000954583,-0.00030425604752938834,-1,-1,1
2024-06-12 14:00:00,0.105229846368194,0.10497599063703401,0.1039334016053811,0.1020190193014672,0.10070797552272,0.10430267328216944,0.10432000227257202,0.10399449735122433,0.10352352582393935,0.1029762781179266,1.8050483963223105e-06,2.2055188476193483e-07,-0.0037692738690360272,-0.00030675487522507607,-1,-1,1
2024-06-12 15:00:00,0.10521184719494933,0.10496676076139001,0.10393519169065644,0.1020211016831952,0.100708118885862,0.10425640968441677,0.10429855292010323,0.10399100053704792,0.1035204979061731,0.10297523795623156,1.793541151800561e-06,2.3102949851011683e-07,-0.0003359895989305528,-0.000301482160124502,-1,-1,1
2024-06-12 16:00:00,0.10519239483066364,0.10495718762590801,0.10393681369280734,0.10202293120428481,0.100708556327244,0.10420674927598772,0.10427566313089368,0.10398745492370431,0.10351744569301592,0.10297389971312994,1.7794027193123657e-06,2.403650115835742e-07,0.000263036759386992,-0.0002958361446256168,-1,1,0
2024-06-12 17:00:00,0.105172560047683,0.10494771619704467,0.10393847771573934,0.1020239277726832,0.100709251087086,0.10416255093947953,0.10425539691632327,0.10398410553122367,0.10351530049274074,0.10297257906069635,1.7744864842622876e-06,2.50008676931773e-07,0.00017531172616314095,-0.000290847292338902,-1,1,0
2024-06-12 18:00:00,0.10515160350319698,0.104937736235088,0.10394067120051334,0.10202454257109812,0.100710206841366,0.1041194526526198,0.10423504467184205,0.1039803371688349,0.10351354562498175,0.10297124270735487,1.770700272023091e-06,2.5997826244628114e-07,-0.0005696632413838554,-0.00028617578072810896,-1,-1,1
2024-06-12 19:00:00,0.10512965267010399,0.10492731130667468,0.10394209150291489,0.10202413105280426,0.10071093468501001,0.1040726721025146,0.10421178502143616,0.1039770225491122,0.1035116427683069,0.10296969654754577,1.7605538827454008e-06,2.691097143454622e-07,0.0008915196024699146,-0.00028044803925915467,-1,1,0
2024-06-12 20:00:00,0.105108313706923,0.10491899679059867,0.10394450349575067,0.10202435416513227,0.100711978662762,0.10404426595200836,0.10419944048668157,0.10397349668632663,0.10351031612905852,0.10296854694313484,1.7569185413762547e-06,2.793803526784233e-07,0.0014310016281293692,-0.0002777850762894887,-1,1,0
2024-06-12 21:00:00,0.10509390926941133,0.10491252570698602,0.10394852908658113,0.10202618368622188,0.100714084998156,0.10403984545413654,0.1041948802759575,0.10397050210868475,0.10350916954416019,0.10296822664050168,1.7598010371064116e-06,2.906092504721555e-07,0.0007071877984587971,-0.0002795197079658021,-1,1,0
2024-06-12 22:00:00,0.105079249886103,0.10490763107596265,0.10395342870965868,0.1020285536349504,0.10071697431686401,0.10403970159772935,0.10419299186287809,0.10396824346795872,0.10350853797949573,0.10296861523178828,1.7636506151100436e-06,3.0235645979653923e-07,-0.00027684685997375613,-0.0002824698333373223,-1,-1,1
2024-06-12 23:00:00,0.10506622215589333,0.10490058789262002,0.10395798376233112,0.10203054677174721,0.100720282697064,0.10403813606071681,0.10418931200069503,0.10396573838162915,0.10350773374172804,0.10296870227858765,1.768966334671997e-06,3.146126216978076e-07,-0.0003570855985192134,-0.00028502518225921114,-1,-1,1
2024-06-13 00:00:00,0.105053627833538,0.10489282004961933,0.10396205977809889,0.10203235150257814,0.100723135255992,0.10403490179322997,0.10418419288702473,0.10396301129688316,0.10350668636620408,0.10296838364994275,1.7816112533129548e-06,3.258263063751575e-07,0.0002478621886230492,-0.0002871592172362919,-1,1,0
2024-06-13 01:00:00,0.105043302528773,0.10488568787298534,0.10396649717258424,0.10203405211432268,0.10072627454120399,0.10403348816643525,0.10418046594261957,0.10396050430672472,0.1035058789168613,0.1029683395043123,1.793693531378529e-06,3.379572970634549e-07,5.8306063101865035e-05,-0.0002895434040494515,-1,1,0
2024-06-13 02:00:00,0.10503376755597765,0.10487983974241201,0.10397120350006867,0.10203590642567092,0.10072955351358,0.10403245656427473,0.10417764451424763,0.10395798074302162,0.10350508681742143,0.10296836641484669,1.8071464712943115e-06,3.501647128004858e-07,0.0004882848085121516,-0.0002921498322439912,-1,1,0
2024-06-13 03:00:00,0.10502752138395934,0.10487462727820533,0.10397611152730245,0.10203844990621012,0.10073317435190998,0.10403289648899859,0.10417623900710951,0.1039562525632029,0.10350463026235641,0.1029690508157423,1.8224287205043542e-06,3.5774463219700286e-07,0.000859544587054506,-0.00029544765362787937,-1,1,0
2024-06-13 04:00:00,0.10502392664822632,0.10487020304029335,0.1039820616699078,0.10204146440166399,0.10073654154775799,0.10403416876476779,0.10417653179890428,0.10395600832154599,0.10350512427597436,0.10297077939995959,1.8417284454414294e-06,3.709261110655388e-07,-0.00010189228529844385,-0.00029875915780898344,-1,-1,1
